home_team,away_team,home_corners,away_corners,giornata
Groningen,Zwolle,13,0,13
Feyenoord,Nijmegen,7,6,13
Telstar,Utrecht,1,8,13
Heerenveen,Alkmaar,8,5,13
Heracles,G.A. Eagles,6,3,13
Sparta Rotterdam,Sittard,7,5,13
Ajax,Excelsior,9,2,13
FC Volendam,Twente,4,4,13
Breda,PSV,6,5,13
G.A. Eagles,Feyenoord,4,7,12
Alkmaar,PSV,4,6,12
Nijmegen,Groningen,9,3,12
Utrecht,Ajax,6,4,12
Zwolle,Sparta Rotterdam,3,6,12
Sittard,Heerenveen,4,5,12
FC Volendam,Breda,8,6,12
Excelsior,Heracles,6,13,12
Twente,Telstar,10,2,12
Utrecht,Nijmegen,2,2,11
Groningen,Twente,7,3,11
Sparta Rotterdam,Alkmaar,6,9,11
Heracles,Zwolle,4,2,11
Telstar,Excelsior,3,5,11
Feyenoord,FC Volendam,10,1,11
Breda,G.A. Eagles,2,2,11
Ajax,Heerenveen,5,4,11
PSV,Sittard,7,4,11
G.A. Eagles,Excelsior,4,10,10
Alkmaar,Utrecht,8,2,10
Feyenoord,PSV,3,5,10
Twente,Ajax,6,1,10
Zwolle,Nijmegen,3,4,10
FC Volendam,Heracles,5,5,10
Sparta Rotterdam,Telstar,6,7,10
Sittard,Groningen,7,7,10
Heerenveen,Breda,4,5,10
Heracles,Feyenoord,2,8,9
Excelsior,Sittard,4,2,9
Groningen,Sparta Rotterdam,7,4,9
Telstar,Heerenveen,6,11,9
Ajax,Alkmaar,5,4,9
Breda,Zwolle,3,2,9
PSV,G.A. Eagles,6,1,9
Utrecht,FC Volendam,10,0,9
Nijmegen,Twente,3,3,9
G.A. Eagles,Nijmegen,11,4,8
Alkmaar,Telstar,6,4,8
Feyenoord,Utrecht,12,3,8
Twente,Heracles,4,3,8
Heerenveen,Excelsior,7,3,8
Zwolle,PSV,4,8,8
Sittard,FC Volendam,7,4,8
Sparta Rotterdam,Ajax,6,4,8
Breda,Groningen,7,6,8
Telstar,G.A. Eagles,8,3,7
Groningen,Feyenoord,3,4,7
Utrecht,Heerenveen,5,3,7
Nijmegen,Alkmaar,5,4,7
Heracles,Sparta Rotterdam,5,4,7
Excelsior,PSV,3,2,7
FC Volendam,Zwolle,3,5,7
Ajax,Breda,2,7,7
Twente,Sittard,4,5,7
Alkmaar,Zwolle,9,1,6
Alkmaar,Feyenoord,4,11,6
Heerenveen,Nijmegen,6,6,6
PSV,Ajax,9,5,6
Zwolle,G.A. Eagles,3,7,6
Breda,Heracles,10,4,6
Sittard,Utrecht,1,11,6
Groningen,Telstar,7,2,6
FC Volendam,Excelsior,5,3,6
Sparta Rotterdam,Twente,1,6,5
Feyenoord,Sittard,13,0,5
Telstar,Sittard,10,1,5
Heracles,Alkmaar,6,9,5
Utrecht,Groningen,3,4,5
Excelsior,Sparta Rotterdam,7,2,5
Feyenoord,Heerenveen,6,3,5
Twente,Breda,4,3,5
G.A. Eagles,FC Volendam,7,7,5
Nijmegen,PSV,8,4,4
Ajax,Zwolle,7,1,4
Breda,Alkmaar,1,7,4
Sparta Rotterdam,Feyenoord,1,9,4
Zwolle,Utrecht,3,2,4
Sittard,Nijmegen,3,4,4
Excelsior,Twente,1,4,4
PSV,Telstar,10,3,4
Heerenveen,G.A. Eagles,3,7,4
FC Volendam,Ajax,2,7,3
Groningen,Heracles,6,3,3
Ajax,Heracles,10,1,3
Nijmegen,Breda,3,1,3
Utrecht,Excelsior,7,5,3
Heerenveen,Twente,7,4,3
Telstar,FC Volendam,4,6,3
PSV,Groningen,6,4,3
G.A. Eagles,Sparta Rotterdam,12,1,3
Breda,Sittard,4,5,2
FC Volendam,Alkmaar,3,4,2
Sparta Rotterdam,Utrecht,5,6,2
Twente,PSV,8,6,2
G.A. Eagles,Ajax,6,9,2
Groningen,Heerenveen,3,8,2
Heracles,Nijmegen,3,7,2
Excelsior,Feyenoord,5,6,2
